Year,Geographic area,Gender,AI talent concentration
2019,Luxembourg,Male,0.0064
2020,Luxembourg,Female,0.0032
2020,Luxembourg,Male,0.0074
2021,Luxembourg,Female,0.0036
2021,Luxembourg,Male,0.0079
2022,Luxembourg,Female,0.0042
2022,Luxembourg,Male,0.0088
2023,Luxembourg,Female,0.0046
2023,Luxembourg,Male,0.009899999999999999
2016,Netherlands,Female,0.0024
2016,Netherlands,Male,0.0045000000000000005
2017,Netherlands,Female,0.0026
2017,Netherlands,Male,0.0049
2018,Netherlands,Female,0.0029
2018,Netherlands,Male,0.0054
2019,Netherlands,Female,0.0032
2019,Netherlands,Male,0.006
2020,Netherlands,Female,0.0034000000000000002
2020,Netherlands,Male,0.0066
2021,Netherlands,Female,0.0037
2021,Netherlands,Male,0.0070999999999999995
2022,Netherlands,Female,0.0039000000000000003
2022,Netherlands,Male,0.0075
2023,Netherlands,Female,0.0040999999999999995
2023,Netherlands,Male,0.0079
2016,New Zealand,Female,0.001
2016,New Zealand,Male,0.0018
2017,New Zealand,Female,0.0011
2017,New Zealand,Male,0.0021
2018,New Zealand,Female,0.0012
2018,New Zealand,Male,0.0024
2019,New Zealand,Female,0.0014000000000000002
2019,New Zealand,Male,0.0028000000000000004
2020,New Zealand,Female,0.0015
2020,New Zealand,Male,0.003
2021,New Zealand,Female,0.0017000000000000001
2021,New Zealand,Male,0.0033
2022,New Zealand,Female,0.0018
2022,New Zealand,Male,0.0034999999999999996
2023,New Zealand,Female,0.002
2023,New Zealand,Male,0.0037
2016,Norway,Female,0.001
2016,Norway,Male,0.002
2017,Norway,Female,0.001
2017,Norway,Male,0.0023
2018,Norway,Female,0.0012
2018,Norway,Male,0.0027
2019,Norway,Female,0.0014000000000000002
2019,Norway,Male,0.0033
2020,Norway,Female,0.0016
2020,Norway,Male,0.0038
2021,Norway,Female,0.0018
2021,Norway,Male,0.0043
2022,Norway,Female,0.0021
2022,Norway,Male,0.0048
2023,Norway,Female,0.0024
2023,Norway,Male,0.0053
2016,Portugal,Female,0.0005
2016,Portugal,Male,0.0016
2017,Portugal,Female,0.0006
2017,Portugal,Male,0.0018
2018,Portugal,Female,0.0007000000000000001
2018,Portugal,Male,0.0021
2019,Portugal,Female,0.0008
2019,Portugal,Male,0.0026
2020,Portugal,Female,0.0009
2020,Portugal,Male,0.0029
2021,Portugal,Female,0.0011
2021,Portugal,Male,0.0033
2022,Portugal,Female,0.0013
2022,Portugal,Male,0.0037
2023,Portugal,Female,0.0015
2023,Portugal,Male,0.0044
2016,Singapore,Female,0.0023
2016,Singapore,Male,0.0038
2017,Singapore,Female,0.0026
2017,Singapore,Male,0.0044
2018,Singapore,Female,0.0031
2018,Singapore,Male,0.0053
2019,Singapore,Female,0.0037
2019,Singapore,Male,0.0063
2020,Singapore,Female,0.0044
2020,Singapore,Male,0.0074
2021,Singapore,Female,0.0051
2021,Singapore,Male,0.0083
2022,Singapore,Female,0.005699999999999999
2022,Singapore,Male,0.0089
2023,Singapore,Female,0.0067
2023,Singapore,Male,0.0103
2016,South Africa,Female,0.0004
2016,South Africa,Male,0.0008
2017,South Africa,Female,0.0005
2017,South Africa,Male,0.0009
2018,South Africa,Female,0.0005
2018,South Africa,Male,0.001
2019,South Africa,Female,0.0006
2019,South Africa,Male,0.0012
2020,South Africa,Female,0.0007000000000000001
2020,South Africa,Male,0.0014000000000000002
2021,South Africa,Female,0.0008
2021,South Africa,Male,0.0015
2022,South Africa,Female,0.0008
2022,South Africa,Male,0.0016
2023,South Africa,Female,0.0009
2023,South Africa,Male,0.0017000000000000001
2016,Spain,Female,0.0008
2016,Spain,Male,0.0028000000000000004
2017,Spain,Female,0.0008
2017,Spain,Male,0.003
2018,Spain,Female,0.001
2018,Spain,Male,0.0033
2019,Spain,Female,0.0011
2019,Spain,Male,0.0037
2020,Spain,Female,0.0012
2020,Spain,Male,0.004
2021,Spain,Female,0.0013
2021,Spain,Male,0.0043
2022,Spain,Female,0.0014000000000000002
2022,Spain,Male,0.0046
2023,Spain,Female,0.0016
2023,Spain,Male,0.0051
2016,Sweden,Female,0.0025
2016,Sweden,Male,0.0049
2017,Sweden,Female,0.0026
2017,Sweden,Male,0.0052
2018,Sweden,Female,0.0027
2018,Sweden,Male,0.005699999999999999
2019,Sweden,Female,0.0029
2019,Sweden,Male,0.0062
2020,Sweden,Female,0.003
2020,Sweden,Male,0.0067
2021,Sweden,Female,0.0032
2021,Sweden,Male,0.0070999999999999995
2022,Sweden,Female,0.0034000000000000002
2022,Sweden,Male,0.0074
2023,Sweden,Female,0.0034999999999999996
2023,Sweden,Male,0.0077
2016,Switzerland,Female,0.0017000000000000001
2016,Switzerland,Male,0.0037
2017,Switzerland,Female,0.0018
2017,Switzerland,Male,0.0042
2018,Switzerland,Female,0.0021
2018,Switzerland,Male,0.0049
2019,Switzerland,Female,0.0024
2019,Switzerland,Male,0.0058
2020,Switzerland,Female,0.0028000000000000004
2020,Switzerland,Male,0.0067
2021,Switzerland,Female,0.0031
2021,Switzerland,Male,0.0075
2022,Switzerland,Female,0.0034000000000000002
2022,Switzerland,Male,0.008199999999999999
2023,Switzerland,Female,0.0038
2023,Switzerland,Male,0.0092
2016,United Arab Emirates,Female,0.0007000000000000001
2016,United Arab Emirates,Male,0.0009
2017,United Arab Emirates,Female,0.0008
2017,United Arab Emirates,Male,0.0009
2018,United Arab Emirates,Female,0.0009
2018,United Arab Emirates,Male,0.0011
2019,United Arab Emirates,Female,0.001
2019,United Arab Emirates,Male,0.0013
2020,United Arab Emirates,Female,0.0013
2020,United Arab Emirates,Male,0.0016
2021,United Arab Emirates,Female,0.0015
2021,United Arab Emirates,Male,0.0018
2022,United Arab Emirates,Female,0.0016
2022,United Arab Emirates,Male,0.002
2023,United Arab Emirates,Female,0.0021
2023,United Arab Emirates,Male,0.0026
2016,United Kingdom,Female,0.0009
2016,United Kingdom,Male,0.0019
2017,United Kingdom,Female,0.001
2017,United Kingdom,Male,0.0022
2018,United Kingdom,Female,0.0012
2018,United Kingdom,Male,0.0025
2019,United Kingdom,Female,0.0013
2019,United Kingdom,Male,0.003
2020,United Kingdom,Female,0.0015
2020,United Kingdom,Male,0.0033
2021,United Kingdom,Female,0.0017000000000000001
2021,United Kingdom,Male,0.0037
2022,United Kingdom,Female,0.002
2022,United Kingdom,Male,0.0040999999999999995
2023,United Kingdom,Female,0.0023
2023,United Kingdom,Male,0.004699999999999999
2016,United States,Female,0.0009
2016,United States,Male,0.0021
2017,United States,Female,0.001
2017,United States,Male,0.0023
2018,United States,Female,0.0011
2018,United States,Male,0.0027
2019,United States,Female,0.0013
2019,United States,Male,0.0031
2020,United States,Female,0.0015
2020,United States,Male,0.0034999999999999996
2021,United States,Female,0.0016
2021,United States,Male,0.0038
2022,United States,Female,0.0018
2022,United States,Male,0.0042
2023,United States,Female,0.0021
2023,United States,Male,0.0048
2016,Uruguay,Female,0.0003
2016,Uruguay,Male,0.0011
2017,Uruguay,Female,0.0004
2017,Uruguay,Male,0.0012
2018,Uruguay,Female,0.0004
2018,Uruguay,Male,0.0013
2019,Uruguay,Female,0.0004
2019,Uruguay,Male,0.0014000000000000002
2020,Uruguay,Female,0.0005
2020,Uruguay,Male,0.0016
2021,Uruguay,Female,0.0005
2021,Uruguay,Male,0.0018
2022,Uruguay,Female,0.0006
2022,Uruguay,Male,0.0019
2023,Uruguay,Female,0.0007000000000000001
2023,Uruguay,Male,0.0022
